2025-10-14 16:07:59 startup archives install
2025-10-14 16:07:59 install base-passwd:amd64 <none> 3.6.7
2025-10-14 16:07:59 status half-installed base-passwd:amd64 3.6.7
2025-10-14 16:07:59 status unpacked base-passwd:amd64 3.6.7
2025-10-14 16:07:59 configure base-passwd:amd64 3.6.7 3.6.7
2025-10-14 16:07:59 status half-configured base-passwd:amd64 3.6.7
2025-10-14 16:07:59 status installed base-passwd:amd64 3.6.7
2025-10-14 16:07:59 startup archives install
2025-10-14 16:07:59 install base-files:amd64 <none> 14
2025-10-14 16:07:59 status half-installed base-files:amd64 14
2025-10-14 16:07:59 status unpacked base-files:amd64 14
2025-10-14 16:07:59 configure base-files:amd64 14 14
2025-10-14 16:07:59 status half-configured base-files:amd64 14
2025-10-14 16:07:59 status installed base-files:amd64 14
2025-10-14 16:07:59 startup archives install
2025-10-14 16:07:59 upgrade dpkg 1.22.21 1.22.21
2025-10-14 16:07:59 status half-configured dpkg 1.22.21
2025-10-14 16:07:59 status unpacked dpkg 1.22.21
2025-10-14 16:07:59 status half-installed dpkg 1.22.21
2025-10-14 16:07:59 status unpacked dpkg:amd64 1.22.21
2025-10-14 16:07:59 configure dpkg:amd64 1.22.21 1.22.21
2025-10-14 16:07:59 status half-configured dpkg:amd64 1.22.21
2025-10-14 16:07:59 status installed dpkg:amd64 1.22.21
2025-10-14 16:07:59 startup archives install
2025-10-14 16:07:59 install libc6:amd64 <none> 2.41-12
2025-10-14 16:07:59 status half-installed libc6:amd64 2.41-12
2025-10-14 16:08:00 status unpacked libc6:amd64 2.41-12
2025-10-14 16:08:00 configure libc6:amd64 2.41-12 2.41-12
2025-10-14 16:08:00 status half-configured libc6:amd64 2.41-12
2025-10-14 16:08:00 status installed libc6:amd64 2.41-12
2025-10-14 16:08:00 startup archives install
2025-10-14 16:08:00 install perl-base:amd64 <none> 5.40.1-6
2025-10-14 16:08:00 status half-installed perl-base:amd64 5.40.1-6
2025-10-14 16:08:00 status unpacked perl-base:amd64 5.40.1-6
2025-10-14 16:08:00 configure perl-base:amd64 5.40.1-6 5.40.1-6
2025-10-14 16:08:00 status half-configured perl-base:amd64 5.40.1-6
2025-10-14 16:08:00 status installed perl-base:amd64 5.40.1-6
2025-10-14 16:08:00 startup archives install
2025-10-14 16:08:00 install mawk:amd64 <none> 1.3.4.20250131-1
2025-10-14 16:08:00 status half-installed mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:00 status unpacked mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:00 configure mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2025-10-14 16:08:00 status half-configured mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:00 status installed mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:00 startup archives unpack
2025-10-14 16:08:00 install apt:amd64 <none> 3.1.8
2025-10-14 16:08:00 status half-installed apt:amd64 3.1.8
2025-10-14 16:08:00 status unpacked apt:amd64 3.1.8
2025-10-14 16:08:00 upgrade base-files:amd64 14 14
2025-10-14 16:08:00 status half-configured base-files:amd64 14
2025-10-14 16:08:00 status unpacked base-files:amd64 14
2025-10-14 16:08:00 status half-installed base-files:amd64 14
2025-10-14 16:08:00 status unpacked base-files:amd64 14
2025-10-14 16:08:00 upgrade base-passwd:amd64 3.6.7 3.6.7
2025-10-14 16:08:00 status half-configured base-passwd:amd64 3.6.7
2025-10-14 16:08:00 status unpacked base-passwd:amd64 3.6.7
2025-10-14 16:08:00 status half-installed base-passwd:amd64 3.6.7
2025-10-14 16:08:00 status unpacked base-passwd:amd64 3.6.7
2025-10-14 16:08:00 install bash:amd64 <none> 5.3-1
2025-10-14 16:08:00 status half-installed bash:amd64 5.3-1
2025-10-14 16:08:00 status unpacked bash:amd64 5.3-1
2025-10-14 16:08:00 install bsdutils:amd64 <none> 1:2.41.2-1
2025-10-14 16:08:00 status half-installed bsdutils:amd64 1:2.41.2-1
2025-10-14 16:08:00 status unpacked bsdutils:amd64 1:2.41.2-1
2025-10-14 16:08:00 install coreutils:amd64 <none> 9.7-3
2025-10-14 16:08:00 status half-installed coreutils:amd64 9.7-3
2025-10-14 16:08:00 status unpacked coreutils:amd64 9.7-3
2025-10-14 16:08:00 install dash:amd64 <none> 0.5.12-12
2025-10-14 16:08:00 status half-installed dash:amd64 0.5.12-12
2025-10-14 16:08:00 status unpacked dash:amd64 0.5.12-12
2025-10-14 16:08:00 install debconf:all <none> 1.5.91
2025-10-14 16:08:00 status half-installed debconf:all 1.5.91
2025-10-14 16:08:00 status unpacked debconf:all 1.5.91
2025-10-14 16:08:00 install debian-archive-keyring:all <none> 2025.1
2025-10-14 16:08:00 status half-installed debian-archive-keyring:all 2025.1
2025-10-14 16:08:00 status unpacked debian-archive-keyring:all 2025.1
2025-10-14 16:08:00 install debianutils:amd64 <none> 5.23.2
2025-10-14 16:08:00 status half-installed debianutils:amd64 5.23.2
2025-10-14 16:08:00 status unpacked debianutils:amd64 5.23.2
2025-10-14 16:08:00 install diffutils:amd64 <none> 1:3.10-4
2025-10-14 16:08:00 status half-installed diffutils:amd64 1:3.10-4
2025-10-14 16:08:00 status unpacked diffutils:amd64 1:3.10-4
2025-10-14 16:08:00 upgrade dpkg:amd64 1.22.21 1.22.21
2025-10-14 16:08:00 status half-configured dpkg:amd64 1.22.21
2025-10-14 16:08:00 status unpacked dpkg:amd64 1.22.21
2025-10-14 16:08:00 status half-installed dpkg:amd64 1.22.21
2025-10-14 16:08:01 status unpacked dpkg:amd64 1.22.21
2025-10-14 16:08:01 install findutils:amd64 <none> 4.10.0-3
2025-10-14 16:08:01 status half-installed findutils:amd64 4.10.0-3
2025-10-14 16:08:01 status unpacked findutils:amd64 4.10.0-3
2025-10-14 16:08:01 install gcc-15-base:amd64 <none> 15.2.0-4
2025-10-14 16:08:01 status half-installed gcc-15-base:amd64 15.2.0-4
2025-10-14 16:08:01 status unpacked gcc-15-base:amd64 15.2.0-4
2025-10-14 16:08:01 install grep:amd64 <none> 3.12-1
2025-10-14 16:08:01 status half-installed grep:amd64 3.12-1
2025-10-14 16:08:01 status unpacked grep:amd64 3.12-1
2025-10-14 16:08:01 install gzip:amd64 <none> 1.13-1
2025-10-14 16:08:01 status half-installed gzip:amd64 1.13-1
2025-10-14 16:08:01 status unpacked gzip:amd64 1.13-1
2025-10-14 16:08:01 install hostname:amd64 <none> 3.25
2025-10-14 16:08:01 status half-installed hostname:amd64 3.25
2025-10-14 16:08:01 status unpacked hostname:amd64 3.25
2025-10-14 16:08:01 install init-system-helpers:all <none> 1.69
2025-10-14 16:08:01 status half-installed init-system-helpers:all 1.69
2025-10-14 16:08:01 status unpacked init-system-helpers:all 1.69
2025-10-14 16:08:01 install libacl1:amd64 <none> 2.3.2-2+b1
2025-10-14 16:08:01 status half-installed libacl1:amd64 2.3.2-2+b1
2025-10-14 16:08:01 status unpacked libacl1:amd64 2.3.2-2+b1
2025-10-14 16:08:01 install libapt-pkg7.0:amd64 <none> 3.1.8
2025-10-14 16:08:01 status half-installed libapt-pkg7.0:amd64 3.1.8
2025-10-14 16:08:01 status unpacked libapt-pkg7.0:amd64 3.1.8
2025-10-14 16:08:01 install libattr1:amd64 <none> 1:2.5.2-3
2025-10-14 16:08:01 status half-installed libattr1:amd64 1:2.5.2-3
2025-10-14 16:08:01 status unpacked libattr1:amd64 1:2.5.2-3
2025-10-14 16:08:01 install libaudit-common:all <none> 1:4.1.2-1
2025-10-14 16:08:01 status half-installed libaudit-common:all 1:4.1.2-1
2025-10-14 16:08:01 status unpacked libaudit-common:all 1:4.1.2-1
2025-10-14 16:08:01 install libaudit1:amd64 <none> 1:4.1.2-1
2025-10-14 16:08:01 status half-installed libaudit1:amd64 1:4.1.2-1
2025-10-14 16:08:01 status unpacked libaudit1:amd64 1:4.1.2-1
2025-10-14 16:08:01 install libblkid1:amd64 <none> 2.41.2-1
2025-10-14 16:08:01 status half-installed libblkid1:amd64 2.41.2-1
2025-10-14 16:08:01 status unpacked libblkid1:amd64 2.41.2-1
2025-10-14 16:08:01 install libbsd0:amd64 <none> 0.12.2-2
2025-10-14 16:08:01 status half-installed libbsd0:amd64 0.12.2-2
2025-10-14 16:08:01 status unpacked libbsd0:amd64 0.12.2-2
2025-10-14 16:08:01 install libbz2-1.0:amd64 <none> 1.0.8-6
2025-10-14 16:08:01 status half-installed libbz2-1.0:amd64 1.0.8-6
2025-10-14 16:08:01 status unpacked libbz2-1.0:amd64 1.0.8-6
2025-10-14 16:08:01 install libc-bin:amd64 <none> 2.41-12
2025-10-14 16:08:01 status half-installed libc-bin:amd64 2.41-12
2025-10-14 16:08:01 status unpacked libc-bin:amd64 2.41-12
2025-10-14 16:08:01 upgrade libc6:amd64 2.41-12 2.41-12
2025-10-14 16:08:01 status half-configured libc6:amd64 2.41-12
2025-10-14 16:08:01 status unpacked libc6:amd64 2.41-12
2025-10-14 16:08:01 status half-installed libc6:amd64 2.41-12
2025-10-14 16:08:01 status unpacked libc6:amd64 2.41-12
2025-10-14 16:08:01 install libcap-ng0:amd64 <none> 0.8.5-4+b1
2025-10-14 16:08:01 status half-installed libcap-ng0:amd64 0.8.5-4+b1
2025-10-14 16:08:01 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2025-10-14 16:08:01 install libcap2:amd64 <none> 1:2.75-10+b1
2025-10-14 16:08:01 status half-installed libcap2:amd64 1:2.75-10+b1
2025-10-14 16:08:01 status unpacked libcap2:amd64 1:2.75-10+b1
2025-10-14 16:08:01 install libcrypt1:amd64 <none> 1:4.4.38-1
2025-10-14 16:08:01 status half-installed libcrypt1:amd64 1:4.4.38-1
2025-10-14 16:08:01 status unpacked libcrypt1:amd64 1:4.4.38-1
2025-10-14 16:08:01 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-10
2025-10-14 16:08:01 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-10-14 16:08:01 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-10-14 16:08:01 install libdebconfclient0:amd64 <none> 0.280
2025-10-14 16:08:01 status half-installed libdebconfclient0:amd64 0.280
2025-10-14 16:08:01 status unpacked libdebconfclient0:amd64 0.280
2025-10-14 16:08:01 install libgcc-s1:amd64 <none> 15.2.0-4
2025-10-14 16:08:01 status half-installed libgcc-s1:amd64 15.2.0-4
2025-10-14 16:08:01 status unpacked libgcc-s1:amd64 15.2.0-4
2025-10-14 16:08:01 install libgmp10:amd64 <none> 2:6.3.0+dfsg-5
2025-10-14 16:08:01 status half-installed libgmp10:amd64 2:6.3.0+dfsg-5
2025-10-14 16:08:01 status unpacked libgmp10:amd64 2:6.3.0+dfsg-5
2025-10-14 16:08:01 install libhogweed6t64:amd64 <none> 3.10.2-1
2025-10-14 16:08:01 status half-installed libhogweed6t64:amd64 3.10.2-1
2025-10-14 16:08:01 status unpacked libhogweed6t64:amd64 3.10.2-1
2025-10-14 16:08:01 install liblastlog2-2:amd64 <none> 2.41.2-1
2025-10-14 16:08:01 status half-installed liblastlog2-2:amd64 2.41.2-1
2025-10-14 16:08:01 status unpacked liblastlog2-2:amd64 2.41.2-1
2025-10-14 16:08:01 install liblz4-1:amd64 <none> 1.10.0-4
2025-10-14 16:08:01 status half-installed liblz4-1:amd64 1.10.0-4
2025-10-14 16:08:01 status unpacked liblz4-1:amd64 1.10.0-4
2025-10-14 16:08:01 install liblzma5:amd64 <none> 5.8.1-2
2025-10-14 16:08:01 status half-installed liblzma5:amd64 5.8.1-2
2025-10-14 16:08:01 status unpacked liblzma5:amd64 5.8.1-2
2025-10-14 16:08:01 install libmd0:amd64 <none> 1.1.0-2+b1
2025-10-14 16:08:01 status half-installed libmd0:amd64 1.1.0-2+b1
2025-10-14 16:08:01 status unpacked libmd0:amd64 1.1.0-2+b1
2025-10-14 16:08:01 install libmount1:amd64 <none> 2.41.2-1
2025-10-14 16:08:01 status half-installed libmount1:amd64 2.41.2-1
2025-10-14 16:08:01 status unpacked libmount1:amd64 2.41.2-1
2025-10-14 16:08:01 install libnettle8t64:amd64 <none> 3.10.2-1
2025-10-14 16:08:01 status half-installed libnettle8t64:amd64 3.10.2-1
2025-10-14 16:08:01 status unpacked libnettle8t64:amd64 3.10.2-1
2025-10-14 16:08:01 install libpam-modules:amd64 <none> 1.7.0-5
2025-10-14 16:08:01 status half-installed libpam-modules:amd64 1.7.0-5
2025-10-14 16:08:01 status unpacked libpam-modules:amd64 1.7.0-5
2025-10-14 16:08:01 install libpam-modules-bin:amd64 <none> 1.7.0-5
2025-10-14 16:08:01 status half-installed libpam-modules-bin:amd64 1.7.0-5
2025-10-14 16:08:01 status unpacked libpam-modules-bin:amd64 1.7.0-5
2025-10-14 16:08:01 install libpam-runtime:all <none> 1.7.0-5
2025-10-14 16:08:01 status half-installed libpam-runtime:all 1.7.0-5
2025-10-14 16:08:01 status unpacked libpam-runtime:all 1.7.0-5
2025-10-14 16:08:01 install libpam0g:amd64 <none> 1.7.0-5
2025-10-14 16:08:01 status half-installed libpam0g:amd64 1.7.0-5
2025-10-14 16:08:01 status unpacked libpam0g:amd64 1.7.0-5
2025-10-14 16:08:01 install libpcre2-8-0:amd64 <none> 10.46-1
2025-10-14 16:08:01 status half-installed libpcre2-8-0:amd64 10.46-1
2025-10-14 16:08:01 status unpacked libpcre2-8-0:amd64 10.46-1
2025-10-14 16:08:02 install libseccomp2:amd64 <none> 2.6.0-2
2025-10-14 16:08:02 status half-installed libseccomp2:amd64 2.6.0-2
2025-10-14 16:08:02 status unpacked libseccomp2:amd64 2.6.0-2
2025-10-14 16:08:02 install libselinux1:amd64 <none> 3.8.1-1
2025-10-14 16:08:02 status half-installed libselinux1:amd64 3.8.1-1
2025-10-14 16:08:02 status unpacked libselinux1:amd64 3.8.1-1
2025-10-14 16:08:02 install libsemanage-common:all <none> 3.8.1-1
2025-10-14 16:08:02 status half-installed libsemanage-common:all 3.8.1-1
2025-10-14 16:08:02 status unpacked libsemanage-common:all 3.8.1-1
2025-10-14 16:08:02 install libsemanage2:amd64 <none> 3.8.1-1
2025-10-14 16:08:02 status half-installed libsemanage2:amd64 3.8.1-1
2025-10-14 16:08:02 status unpacked libsemanage2:amd64 3.8.1-1
2025-10-14 16:08:02 install libsepol2:amd64 <none> 3.8.1-1
2025-10-14 16:08:02 status half-installed libsepol2:amd64 3.8.1-1
2025-10-14 16:08:02 status unpacked libsepol2:amd64 3.8.1-1
2025-10-14 16:08:02 install libsmartcols1:amd64 <none> 2.41.2-1
2025-10-14 16:08:02 status half-installed libsmartcols1:amd64 2.41.2-1
2025-10-14 16:08:02 status unpacked libsmartcols1:amd64 2.41.2-1
2025-10-14 16:08:02 install libsqlite3-0:amd64 <none> 3.46.1-8
2025-10-14 16:08:02 status half-installed libsqlite3-0:amd64 3.46.1-8
2025-10-14 16:08:02 status unpacked libsqlite3-0:amd64 3.46.1-8
2025-10-14 16:08:02 install libssl3t64:amd64 <none> 3.5.4-1
2025-10-14 16:08:02 status half-installed libssl3t64:amd64 3.5.4-1
2025-10-14 16:08:02 status unpacked libssl3t64:amd64 3.5.4-1
2025-10-14 16:08:02 install libstdc++6:amd64 <none> 15.2.0-4
2025-10-14 16:08:02 status half-installed libstdc++6:amd64 15.2.0-4
2025-10-14 16:08:02 status unpacked libstdc++6:amd64 15.2.0-4
2025-10-14 16:08:02 install libsystemd0:amd64 <none> 258-1
2025-10-14 16:08:02 status half-installed libsystemd0:amd64 258-1
2025-10-14 16:08:02 status unpacked libsystemd0:amd64 258-1
2025-10-14 16:08:02 install libtinfo6:amd64 <none> 6.5+20250216-2
2025-10-14 16:08:02 status half-installed libtinfo6:amd64 6.5+20250216-2
2025-10-14 16:08:02 status unpacked libtinfo6:amd64 6.5+20250216-2
2025-10-14 16:08:02 install libudev1:amd64 <none> 258-1
2025-10-14 16:08:02 status half-installed libudev1:amd64 258-1
2025-10-14 16:08:02 status unpacked libudev1:amd64 258-1
2025-10-14 16:08:02 install libuuid1:amd64 <none> 2.41.2-1
2025-10-14 16:08:02 status half-installed libuuid1:amd64 2.41.2-1
2025-10-14 16:08:02 status unpacked libuuid1:amd64 2.41.2-1
2025-10-14 16:08:02 install libxxhash0:amd64 <none> 0.8.3-2
2025-10-14 16:08:02 status half-installed libxxhash0:amd64 0.8.3-2
2025-10-14 16:08:02 status unpacked libxxhash0:amd64 0.8.3-2
2025-10-14 16:08:02 install libzstd1:amd64 <none> 1.5.7+dfsg-2
2025-10-14 16:08:02 status half-installed libzstd1:amd64 1.5.7+dfsg-2
2025-10-14 16:08:02 status unpacked libzstd1:amd64 1.5.7+dfsg-2
2025-10-14 16:08:02 install login:amd64 <none> 1:4.16.0-2+really2.41.2-1
2025-10-14 16:08:02 status half-installed login:amd64 1:4.16.0-2+really2.41.2-1
2025-10-14 16:08:02 status unpacked login:amd64 1:4.16.0-2+really2.41.2-1
2025-10-14 16:08:02 install login.defs:all <none> 1:4.18.0-1
2025-10-14 16:08:02 status half-installed login.defs:all 1:4.18.0-1
2025-10-14 16:08:02 status unpacked login.defs:all 1:4.18.0-1
2025-10-14 16:08:02 upgrade mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2025-10-14 16:08:02 status half-configured mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:02 status unpacked mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:02 status half-installed mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:02 status unpacked mawk:amd64 1.3.4.20250131-1
2025-10-14 16:08:02 install mount:amd64 <none> 2.41.2-1
2025-10-14 16:08:02 status half-installed mount:amd64 2.41.2-1
2025-10-14 16:08:02 status unpacked mount:amd64 2.41.2-1
2025-10-14 16:08:02 install ncurses-base:all <none> 6.5+20250216-2
2025-10-14 16:08:02 status half-installed ncurses-base:all 6.5+20250216-2
2025-10-14 16:08:02 status unpacked ncurses-base:all 6.5+20250216-2
2025-10-14 16:08:02 install ncurses-bin:amd64 <none> 6.5+20250216-2
2025-10-14 16:08:02 status half-installed ncurses-bin:amd64 6.5+20250216-2
2025-10-14 16:08:02 status unpacked ncurses-bin:amd64 6.5+20250216-2
2025-10-14 16:08:02 install openssl-provider-legacy:amd64 <none> 3.5.4-1
2025-10-14 16:08:02 status half-installed openssl-provider-legacy:amd64 3.5.4-1
2025-10-14 16:08:02 status unpacked openssl-provider-legacy:amd64 3.5.4-1
2025-10-14 16:08:02 install passwd:amd64 <none> 1:4.18.0-1
2025-10-14 16:08:02 status half-installed passwd:amd64 1:4.18.0-1
2025-10-14 16:08:02 status unpacked passwd:amd64 1:4.18.0-1
2025-10-14 16:08:02 upgrade perl-base:amd64 5.40.1-6 5.40.1-6
2025-10-14 16:08:02 status half-configured perl-base:amd64 5.40.1-6
2025-10-14 16:08:02 status unpacked perl-base:amd64 5.40.1-6
2025-10-14 16:08:02 status half-installed perl-base:amd64 5.40.1-6
2025-10-14 16:08:02 status unpacked perl-base:amd64 5.40.1-6
2025-10-14 16:08:02 install sed:amd64 <none> 4.9-2
2025-10-14 16:08:02 status half-installed sed:amd64 4.9-2
2025-10-14 16:08:02 status unpacked sed:amd64 4.9-2
2025-10-14 16:08:02 install sqv:amd64 <none> 1.3.0-3
2025-10-14 16:08:02 status half-installed sqv:amd64 1.3.0-3
2025-10-14 16:08:02 status unpacked sqv:amd64 1.3.0-3
2025-10-14 16:08:02 install sysvinit-utils:amd64 <none> 3.14-4
2025-10-14 16:08:02 status half-installed sysvinit-utils:amd64 3.14-4
2025-10-14 16:08:02 status unpacked sysvinit-utils:amd64 3.14-4
2025-10-14 16:08:02 install tar:amd64 <none> 1.35+dfsg-3.1
2025-10-14 16:08:02 status half-installed tar:amd64 1.35+dfsg-3.1
2025-10-14 16:08:02 status unpacked tar:amd64 1.35+dfsg-3.1
2025-10-14 16:08:02 install tzdata:all <none> 2025b-5
2025-10-14 16:08:02 status half-installed tzdata:all 2025b-5
2025-10-14 16:08:02 status unpacked tzdata:all 2025b-5
2025-10-14 16:08:02 install util-linux:amd64 <none> 2.41.2-1
2025-10-14 16:08:02 status half-installed util-linux:amd64 2.41.2-1
2025-10-14 16:08:03 status unpacked util-linux:amd64 2.41.2-1
2025-10-14 16:08:03 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2025-10-14 16:08:03 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-10-14 16:08:03 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-10-14 16:08:03 startup packages configure
2025-10-14 16:08:03 configure login.defs:all 1:4.18.0-1 <none>
2025-10-14 16:08:03 status unpacked login.defs:all 1:4.18.0-1
2025-10-14 16:08:03 status half-configured login.defs:all 1:4.18.0-1
2025-10-14 16:08:03 status installed login.defs:all 1:4.18.0-1
2025-10-14 16:08:03 configure debian-archive-keyring:all 2025.1 <none>
2025-10-14 16:08:03 status unpacked debian-archive-keyring:all 2025.1
2025-10-14 16:08:03 status half-configured debian-archive-keyring:all 2025.1
2025-10-14 16:08:03 status installed debian-archive-keyring:all 2025.1
2025-10-14 16:08:03 configure libaudit-common:all 1:4.1.2-1 <none>
2025-10-14 16:08:03 status unpacked libaudit-common:all 1:4.1.2-1
2025-10-14 16:08:03 status half-configured libaudit-common:all 1:4.1.2-1
2025-10-14 16:08:03 status installed libaudit-common:all 1:4.1.2-1
2025-10-14 16:08:03 configure libsemanage-common:all 3.8.1-1 <none>
2025-10-14 16:08:03 status unpacked libsemanage-common:all 3.8.1-1
2025-10-14 16:08:03 status half-configured libsemanage-common:all 3.8.1-1
2025-10-14 16:08:03 status installed libsemanage-common:all 3.8.1-1
2025-10-14 16:08:03 configure debconf:all 1.5.91 <none>
2025-10-14 16:08:03 status unpacked debconf:all 1.5.91
2025-10-14 16:08:03 status half-configured debconf:all 1.5.91
2025-10-14 16:08:03 status installed debconf:all 1.5.91
2025-10-14 16:08:03 configure tzdata:all 2025b-5 <none>
2025-10-14 16:08:03 status unpacked tzdata:all 2025b-5
2025-10-14 16:08:03 status half-configured tzdata:all 2025b-5
2025-10-14 16:08:03 status installed tzdata:all 2025b-5
2025-10-14 16:08:03 configure ncurses-base:all 6.5+20250216-2 <none>
2025-10-14 16:08:03 status unpacked ncurses-base:all 6.5+20250216-2
2025-10-14 16:08:03 status half-configured ncurses-base:all 6.5+20250216-2
2025-10-14 16:08:03 status installed ncurses-base:all 6.5+20250216-2
2025-10-14 16:08:03 configure init-system-helpers:all 1.69 <none>
2025-10-14 16:08:03 status unpacked init-system-helpers:all 1.69
2025-10-14 16:08:03 status half-configured init-system-helpers:all 1.69
2025-10-14 16:08:03 status installed init-system-helpers:all 1.69
2025-10-14 16:08:03 configure gcc-15-base:amd64 15.2.0-4 <none>
2025-10-14 16:08:03 status unpacked gcc-15-base:amd64 15.2.0-4
2025-10-14 16:08:03 status half-configured gcc-15-base:amd64 15.2.0-4
2025-10-14 16:08:03 status installed gcc-15-base:amd64 15.2.0-4
2025-10-14 16:08:03 configure libgcc-s1:amd64 15.2.0-4 <none>
2025-10-14 16:08:03 status unpacked libgcc-s1:amd64 15.2.0-4
2025-10-14 16:08:03 status half-configured libgcc-s1:amd64 15.2.0-4
2025-10-14 16:08:03 status installed libgcc-s1:amd64 15.2.0-4
2025-10-14 16:08:03 configure libc6:amd64 2.41-12 <none>
2025-10-14 16:08:03 status unpacked libc6:amd64 2.41-12
2025-10-14 16:08:03 status half-configured libc6:amd64 2.41-12
2025-10-14 16:08:03 status installed libc6:amd64 2.41-12
2025-10-14 16:08:03 configure libdb5.3t64:amd64 5.3.28+dfsg2-10 <none>
2025-10-14 16:08:03 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-10-14 16:08:03 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-10-14 16:08:03 status installed libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-10-14 16:08:03 configure libmd0:amd64 1.1.0-2+b1 <none>
2025-10-14 16:08:03 status unpacked libmd0:amd64 1.1.0-2+b1
2025-10-14 16:08:03 status half-configured libmd0:amd64 1.1.0-2+b1
